"filename", "language", "JSON", "JavaScript", "Markdown", "SCSS", "HTML", "comment", "blank", "total"
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/package.json", "JSON", 42, 0, 0, 0, 0, 0, 1, 43
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/public/index.html", "HTML", 0, 0, 0, 0, 17, 23, 1, 41
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/public/manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/App.js", "JavaScript", 0, 67, 0, 0, 0, 0, 8, 75
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/_theme.scss", "SCSS", 0, 0, 0, 12, 0, 0, 1, 13
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/components/AddToPlannerModal/AddToPlannerModal.js", "JavaScript", 0, 42, 0, 0, 0, 0, 4, 46
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/components/AddToPlannerModal/AddToPlannerModal.scss", "SCSS", 0, 0, 0, 41, 0, 0, 7, 48
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/components/Crop/Crop.js", "JavaScript", 0, 36, 0, 0, 0, 0, 4, 40
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/components/Crop/Crop.scss", "SCSS", 0, 0, 0, 64, 0, 0, 13, 77
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/components/EditTaskModal/EditTaskModal.js", "JavaScript", 0, 54, 0, 0, 0, 0, 5, 59
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/components/EditTaskModal/EditTaskModal.scss", "SCSS", 0, 0, 0, 42, 0, 0, 8, 50
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/components/Footer/Footer.js", "JavaScript", 0, 15, 0, 0, 0, 0, 2, 17
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/components/Footer/Footer.scss", "SCSS", 0, 0, 0, 26, 0, 0, 6, 32
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/components/GardenLocation/GardenLocation.js", "JavaScript", 0, 46, 0, 0, 0, 0, 5, 51
"/Users/joannholland/Documents/Universities/Open University/TM470 Computing & IT Project/project-code/src/components/GardenLocation/GardenLocation.scss", "SCSS", 0, 0, 0, 61, 0, 0, 12, 73
